PlateID: ,CAS004,,,,,,
LenseUsed: ,MV65051B - 117 mm,,,,,,
,,,,,,,
Species,Age,DataMalaise,SpecimenCode/Filename,Ventral,Dorsal,Lateral(left),Lateral(right)
Peribaea tibialis,2022,28Jun2022,CAS0000286,1,1,0,0
Peribaea tibialis,2022,28Jun2022,CAS0000287,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000288,0,1,0,1
Peribaea tibialis,2022,28Jun2022,CAS0000289,1,0,1,0
Peribaea tibialis,2022,28Jun2022,CAS0000290,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000291,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000292,1,1,0,0
Peribaea tibialis,2022,28Jun2022,CAS0000293,0,1,1,0
,2022,28Jun2022,CAS0000294,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000295,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000296,1,1,0,0
Peribaea tibialis,2022,28Jun2022,CAS0000297,0,1,0,1
Peribaea tibialis,2022,28Jun2022,CAS0000298,1,0,0,1
Peribaea tibialis,2022,28Jun2022,CAS0000299,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000300,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000301,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000302,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000303,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000304,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000305,0,1,1,0
Peribaea tibialis,2022,28Jun2022,CAS0000306,1,0,1,0
Peribaea tibialis,2022,28Jun2022,CAS0000307,1,0,0,1
Peribaea tibialis,2022,28Jun2022,CAS0000308,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000309,0,1,0,1
Peribaea tibialis,2022,28Jun2022,CAS0000310,0,1,0,1
Peribaea tibialis,2022,28Jun2022,CAS0000311,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000312,0,1,0,1
Peribaea tibialis,2022,28Jun2022,CAS0000313,0,0,1,1
Siphona pauciseta,2022,26Apr2022,CAS0000314,0,0,1,1
Siphona pauciseta,2022,26Apr2022,CAS0000315,0,0,1,1
Microsoma exiguum,2022,26Apr2022,CAS0000316,0,0,1,1
Siphona pauciseta,2022,26Apr2022,CAS0000317,1,0,0,1
Siphona pauciseta,2022,26Apr2022,CAS0000318,1,0,0,1
Siphona pauciseta,2022,26Apr2022,CAS0000319,0,0,1,1
Loewia piligena,2022,04Jun2022,CAS0000320,1,1,0,0
Loewia piligena,2022,04Jun2022,CAS0000321,1,1,0,0
Phytomyptera stackelbergi,2022,04Jun2022,CAS0000322,1,1,0,0
Clausicella suturata,2022,06Jul2022,CAS0000323,0,0,1,1
Phytomyptera nigrina,2022,04Jun2022,CAS0000324,1,0,0,0
,2022,21Jun2022,CAS0000325,1,1,0,0
,2022,21Jun2022,CAS0000326,0,0,1,1
Leucostoma simplex,2022,28Jul2022,CAS0000327,0,0,1,1
Peribaea tibialis,2022,06Jul2022,CAS0000328,0,0,1,1
Catharosia pygmaea,2022,05Ago2022,CAS0000329,1,0,0,1
Actia pilipennis,2022,04Jun2022,CAS0000330,0,1,0,1
Peribaea tibialis,2022,04Jun2022,CAS0000331,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000332,0,0,1,1
Siphona pauciseta,2022,04Jun2022,CAS0000333,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000334,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000335,0,1,1,0
Peribaea tibialis,2022,04Jun2022,CAS0000336,1,0,1,0
Siphona pauciseta,2022,04Jun2022,CAS0000337,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000338,1,1,0,0
Peribaea tibialis,2022,04Jun2022,CAS0000339,0,1,1,0
Peribaea tibialis,2022,04Jun2022,CAS0000340,1,1,0,0
Peribaea tibialis,2022,04Jun2022,CAS0000341,0,0,1,1
Siphona pauciseta,2022,04Jun2022,CAS0000342,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000343,0,0,1,1
,2022,04Jun2022,CAS0000344,1,0,0,1
Siphona pauciseta,2022,04Jun2022,CAS0000345,1,0,1,0
