PlateID: ,CAS003,,,,,,
LenseUsed: ,MV65051B - 117 mm,,,,,,
,,,,,,,
Species,Age,DataMalaise,SpecimenCode/Filename,Ventral,Dorsal,Lateral(left),Lateral(right)
Clausicella suturata,2022,18Aug2022,CAS0000191,0,0,1,1
Clausicella suturata,2022,18Aug2022,CAS0000192,0,1,0,1
Clausicella suturata,2022,18Aug2022,CAS0000193,0,0,1,1
Clausicella suturata,2022,18Aug2022,CAS0000194,0,0,1,1
Clausicella suturata,2022,18Aug2022,CAS0000195,0,0,1,1
Clausicella suturata,2022,18Aug2022,CAS0000196,1,0,1,0
Clausicella suturata,2022,18Aug2022,CAS0000197,0,0,1,1
Clausicella suturata,2022,18Aug2022,CAS0000198,1,0,0,1
Clausicella suturata,2022,18Aug2022,CAS0000199,1,0,1,0
Clausicella suturata,2022,18Aug2022,CAS0000200,0,0,1,1
Clausicella suturata,2022,18Aug2022,CAS0000201,0,0,1,1
Clausicella suturata,2022,18Aug2022,CAS0000202,0,0,1,1
Clausicella suturata,2022,18Aug2022,CAS0000203,0,1,1,0
Clausicella suturata,2022,18Aug2022,CAS0000204,0,1,0,1
Clausicella suturata,2022,18Aug2022,CAS0000205,0,0,1,1
Clausicella suturata,2022,18Aug2022,CAS0000206,0,1,1,0
Clausicella suturata,2022,18Aug2022,CAS0000207,1,0,1,0
Clausicella suturata,2022,18Aug2022,CAS0000208,0,1,0,1
Clausicella suturata,2022,18Aug2022,CAS0000209,1,1,0,0
Clausicella suturata,2022,18Aug2022,CAS0000210,0,1,0,1
Clausicella suturata,2022,18Aug2022,CAS0000211,1,1,1,0
Clausicella suturata,2022,18Aug2022,CAS0000212,0,0,1,1
Clausicella suturata,2022,18Aug2022,CAS0000213,0,0,1,1
,2022,21Jun2022,CAS0000214,0,0,1,1
,2022,21Jun2022,CAS0000215,0,0,1,1
,2022,21Jun2022,CAS0000216,1,1,0,0
,2022,21Jun2022,CAS0000217,1,1,0,0
,2022,21Jun2022,CAS0000218,0,0,1,1
,2022,21Jun2022,CAS0000219,0,0,1,1
Nemorilla maculosa,2022,21Jun2022,CAS0000220,1,1,0,0
Peribaea tibialis,2022,26Jun2022,CAS0000221,1,0,1,0
Peribaea tibialis,2022,26Jun2022,CAS0000222,1,0,0,1
Peribaea tibialis,2022,26Jun2022,CAS0000223,0,0,1,1
Clausicella suturata,2022,3Nov2022,CAS0000224,0,1,1,0
,2022,20May2022,CAS0000225,1,1,0,0
Peribaea tibialis,2022,28Jun2022,CAS0000226,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000227,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000228,0,1,1,0
,2022,28Jun2022,CAS0000229,1,1,0,0
Peribaea tibialis,2022,28Jun2022,CAS0000230,1,0,1,0
Peribaea tibialis,2022,28Jun2022,CAS0000231,1,0,1,0
Peribaea tibialis,2022,28Jun2022,CAS0000232,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000233,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000234,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000235,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000236,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000237,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000238,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000239,1,0,1,0
,2022,28Jun2022,CAS0000240,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000241,1,0,1,0
Peribaea tibialis,2022,28Jun2022,CAS0000242,0,0,1,1
Peribaea tibialis,2022,28Jun2022,CAS0000243,0,0,1,1
Compsilura concinnata,2022,08Sep2022,CAS0000244,0,0,1,1
Clausicella suturata,2022,26Apr2022,CAS0000245,1,1,0,0
Meigenia mutabilis-group,2022,28Jul2022,CAS0000246,0,0,1,1
Meigenia mutabilis-group,2022,28Jul2022,CAS0000247,0,0,1,1
Siphona sp.,2022,28Jul2022,CAS0000248,0,0,1,1
Platinya fimbriata,2022,28Jun2022,CAS0000249,1,1,0,0
Siphona pauciseta,2022,26Apr2022,CAS0000250,0,0,1,1
Siphona pauciseta,2022,26Apr2022,CAS0000251,0,0,1,1
Siphona pauciseta,2022,26Apr2022,CAS0000252,0,0,1,1
Siphona pauciseta,2022,26Apr2022,CAS0000253,1,0,0,1
Siphona geniculata,2022,26Apr2022,CAS0000254,1,1,0,1
Siphona pauciseta,2022,20May2022,CAS0000255,0,0,1,1
Peribaea tibialis,2022,20May2022,CAS0000256,0,1,1,0
Peribaea tibialis,2022,20May2022,CAS0000257,0,1,0,1
Loewia foeda,2022,20May2022,CAS0000258,1,1,0,0
