PlateID: ,CAS005,,,,,,
LenseUsed: ,MV65051B - 117 mm,,,,,,
,,,,,,,
Species,Age,DataMalaise,SpecimenCode/Filename,Ventral,Dorsal,Lateral(left),Lateral(right)
Siphona pauciseta,2022,04Jun2022,CAS0000381,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000382,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000383,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000384,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000385,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000386,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000387,1,1,0,0
Peribaea tibialis,2022,04Jun2022,CAS0000388,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000389,1,1,0,0
Peribaea tibialis,2022,04Jun2022,CAS0000390,0,0,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000391,0,1,0,1
Peribaea tibialis,2022,04Jun2022,CAS0000392,1,0,0,1
Peribaea tibialis,2022,04Jun2022,CAS0000393,1,1,0,0
,2022,21Jun2022,CAS0000394,1,0,1,0
,2022,21Jun2022,CAS0000395,0,0,1,1
,2022,21Jun2022,CAS0000396,1,0,0,1
,2022,21Jun2022,CAS0000397,0,0,1,1
,2022,,CAS0000398,,,,
,2022,,CAS0000399,,,,
,2022,,CAS0000400,,,,
,2022,,CAS0000401,,,,
,2022,,CAS0000402,,,,
,2022,,CAS0000403,,,,
,2022,,CAS0000404,,,,
,2022,,CAS0000405,,,,
,2022,,CAS0000406,,,,
,2022,,CAS0000407,,,,
,2022,,CAS0000408,,,,
,2022,,CAS0000409,,,,
,2022,,CAS0000410,,,,
,2022,,CAS0000411,,,,
,2022,,CAS0000412,,,,
,2022,,CAS0000413,,,,
,2022,,CAS0000414,,,,
,2022,,CAS0000415,,,,
,2022,,CAS0000416,,,,
,2022,,CAS0000417,,,,
,2022,,CAS0000418,,,,
,2022,,CAS0000419,,,,
,2022,,CAS0000420,,,,
,2022,,CAS0000421,,,,
,2022,,CAS0000422,,,,
,2022,,CAS0000423,,,,
,2022,,CAS0000424,,,,
,2022,,CAS0000425,,,,
,2022,,CAS0000426,,,,
,2022,,CAS0000427,,,,
,2022,,CAS0000428,,,,
,2022,,CAS0000429,,,,
,2022,,CAS0000430,,,,
,2022,,CAS0000431,,,,
,2022,,CAS0000432,,,,
,2022,,CAS0000433,,,,
,2022,,CAS0000434,,,,
,2022,,CAS0000435,,,,
,2022,,CAS0000436,,,,
,2022,,CAS0000437,,,,
,2022,,CAS0000438,,,,
,2022,,CAS0000439,,,,
,2022,,CAS0000440,,,,
,2022,,CAS0000441,,,,
,2022,,CAS0000442,,,,
,2022,,CAS0000443,,,,
,2022,,CAS0000444,,,,
,2022,,CAS0000445,,,,
,2022,,CAS0000446,,,,
,2022,,CAS0000447,,,,
,2022,,CAS0000448,,,,
,2022,,CAS0000449,,,,
,2022,,CAS0000450,,,,
,2022,,CAS0000451,,,,
,2022,,CAS0000452,,,,
,2022,,CAS0000453,,,,
,2022,,CAS0000454,,,,
,2022,,CAS0000455,,,,
,2022,,CAS0000456,,,,
,2022,,CAS0000457,,,,
,2022,,CAS0000458,,,,
,2022,,CAS0000459,,,,
,2022,,CAS0000460,,,,
,2022,,CAS0000461,,,,
,2022,,CAS0000462,,,,
,2022,,CAS0000463,,,,
,2022,,CAS0000464,,,,
,2022,,CAS0000465,,,,
,2022,,CAS0000466,,,,
,2022,,CAS0000467,,,,
,2022,,CAS0000468,,,,
,2022,,CAS0000469,,,,
,2022,,CAS0000470,,,,
,2022,,CAS0000471,,,,
,2022,,CAS0000472,,,,
,2022,,CAS0000473,,,,
,2022,,CAS0000474,,,,
,2022,,CAS0000475,,,,
